FullName,PlayerName,Affiliation,Champions League,League,League Nation,Jersey,Birth Date,Age,Height (meters),Position,Foot,Agent,Agent Yes/No,PlayerSponsor,Nationality,Nation/League,Continent,Games Played,2018/19 Games Played,Market Value (Euros),Accumulated Transfer Sums (Euros),Highest Market Value (Euros),Highest Market Value Date,Years Since Peak,NationalTeamCaps,MostRecentInjury
,Benjamin Hubner,TSG Hoffenheim,No,Bundesliga,Germany,#21,7/4/1989,30,1.93,Defender ,left,Soccertalk GmbH,Yes,adidas,Germany,Yes,UEFA,1,10,7000000,800000,8000000,43256,1,0,NA
Nathaniel Nyakie Chalobah,Nathaniel Chalobah,Watford,No,Premier League,England,#14,12/12/1994,24,1.85,Midfielder ,right,Base Soccer Agency ...,Yes,Other,England,Yes,UEFA,0,9,7000000,6550000,7000000,43453,0,1,NA
,Daniel Amartey,Leicester,No,Premier League,England,#18,12/21/1994,24,1.86,Midfielder ,right,HCM Sports ...,Yes,Puma,Ghana,No,CAF,0,9,7000000,8400000,7000000,43390,0,25,NA
,Valon Berisha,Lazio,No,Serie A,Italy,#7,2/7/1993,26,1.76,Midfielder ,right,arena11 sports group,Yes,Nike,Kosovo,No,UEFA,0,8,7000000,10400000,10000000,43265,1,18,NA
,Antonio Barreca,Genoa,No,Serie A,Italy,#3,3/18/1995,24,1.80,Defender ,left,Gr Sports,Yes,Other,Italy,Yes,UEFA,0,7,7000000,11940000,8000000,43349,1,13,NA
Alberto Grassi,Alberto Grassi,Parma,No,Serie A,Italy,#8,3/7/1995,24,1.83,Midfielder ,right,M.A.R.A.T. Football ...,Yes,Other,Italy,Yes,UEFA,0,7,7000000,11150000,7000000,43258,0,12,Knee Surgery: Return unknown
Pedro Lomba Neto,Pedro Neto,Wolves,No,Premier League,England,#7,3/9/2000,19,1.72,Forward ,left,Gestifute,Yes,Other,Portugal,No,UEFA,0,4,7000000,34300000,7000000,43720,0,1,NA
,Pietro Pellegri,Monaco,No,Ligue 1,France,#19,3/17/2001,18,1.88,Forward ,right,Gr Sports,Yes,Other,Italy,No,UEFA,0,3,7000000,20900000,8000000,43098,2,0,NA
,Bukayo Saka,Arsenal,No,Premier League,England,#77,9/5/2001,18,1.78,Forward ,left,NA,No,Other,England,Yes,UEFA,0,0,7000000,0,7000000,,0,8,NA
,Ruben Vargas,FC Augsburg,No,Bundesliga,Germany,#16,8/5/1998,21,1.74,Forward ,right,teambbc,Yes,Other,Switzerland,No,UEFA,3,0,7000000,2700000,7000000,43740,0,3,NA
Luis Fernando Diaz Marulanda,Luis Diaz,FC Porto,No,Liga NOS,Portugal,#7,1/13/1997,22,1.80,Midfielder ,right,Nomi Sports,Yes,Other,Colombia,No,CONMEBOL,2,0,7000000,7000000,7000000,43749,0,13,NA
Prince-Desir Gouano,Prince Gouano,SC Amiens,No,Ligue 1,France,#2,12/24/1993,25,1.86,Defender ,right,Beckster SPRL,Yes,Other,France,Yes,UEFA,0,0,7000000,3080000,7000000,43451,0,2,Virus Infection: Return unknown
Kasim Adams Nuhu,Kasim Adams,F. Dusseldorf,No,Bundesliga,Germany,#4,6/22/1995,24,1.90,Defender ,right,JJ SPORT MANAGERS SL,Yes,Other,Ghana,No,CAF,1,0,7000000,8500000,8500000,43293,1,8,NA
,Konstantinos Mitroglou,PSV Eindhoven,No,Eredivisie,Netherlands,#11,3/12/1988,31,1.88,Forward ,both,SPORTS ACTION,Yes,Other,Greece,No,UEFA,1,0,7000000,42950000,12000000,41675,5,65,NA
,Arthur Zagre,Monaco,No,Ligue 1,France,#18,10/4/2001,18,1.68,Defender ,left,NABE M&C,Yes,Other,France,Yes,UEFA,0,0,7000000,10000000,7000000,,0,7,NA
Pape Cheikh Diop Gueye,Pape Cheikh,Celta de Vigo,No,LaLiga,Spain,#24,8/8/1997,22,1.80,Midfielder ,right,Eugenio Botas ...,Yes,Other,Spain,Yes,UEFA,0,0,7000000,10500000,7000000,43397,0,3,NA
,Albian Ajeti,West Ham,No,Premier League,England,#27,2/26/1997,22,1.83,Forward ,right,ESHA,Yes,Nike,Switzerland,No,UEFA,0,0,7000000,12090000,7000000,43570,0,10,NA
Zackary Thomas Steffen,Zack Steffen,F. Dusseldorf,No,Bundesliga,Germany,#24,4/2/1995,24,1.91,Goalkeeper,right,Wasserman,Yes,Other,United States,No,CONCACAF,19,0,7000000,8000000,7000000,43740,0,17,NA
,Conor Hourihane,Aston Villa,No,Premier League,England,#14,2/2/1991,28,1.81,Midfielder ,left,NA,No,Other,Ireland,No,#N/A,1,43,6500000,3750000,6500000,43644,0,12,NA
Jack William O'Connell,Jack O'Connell,Sheffield Utd.,No,Premier League,England,#5,3/29/1994,25,1.91,Defender ,left,Midas Sports,Yes,Other,England,Yes,UEFA,0,41,6500000,0,6500000,43644,0,8,NA
,John McGinn,Aston Villa,No,Premier League,England,#7,10/18/1994,25,1.78,Midfielder ,left,NA,No,Other,Scotland,No,UEFA,3,40,6500000,4260000,6500000,43644,0,21,NA
,Roman Yaremchuk,KAA Gent,No,Jupiler Pro League,Belgium,#7,11/27/1995,23,1.91,Forward ,right,Vision Foot,Yes,Other,Ukraine,No,UEFA,7,37,6500000,2000000,6500000,43721,0,12,NA
,Ibrahima Sissoko,R. Strasbourg,No,Ligue 1,France,#18,10/27/1997,22,1.93,Midfielder ,right,ASR SPORT,Yes,Other,France,Yes,UEFA,0,32,6500000,2000000,6500000,43619,0,4,NA
Jhon Andres Cordoba Copete,Jhon Cordoba,1. FC Koln,No,Bundesliga,Germany,#15,5/11/1993,26,1.88,Forward ,right,Promoesport,Yes,Nike,Colombia,No,CONMEBOL,1,31,6500000,25930000,10000000,43026,2,11,NA
,Daniel Caligiuri,FC Schalke 04,No,Bundesliga,Germany,#18,1/15/1988,31,1.82,Midfielder ,right,arena11 sports group,Yes,Other,Italy,No,UEFA,1,31,6500000,7000000,7500000,42186,4,0,NA
,Nemanja Gudelj,Sevilla FC,No,LaLiga,Spain,#17,11/16/1991,28,1.87,Midfielder ,right,Universal Sports ...,Yes,Nike,Serbia,No,UEFA,0,27,6500000,21800000,6500000,42566,0,25,NA
,Sebastiaan Bornauw,1. FC Koln,No,Bundesliga,Germany,#33,3/22/1999,20,1.91,Defender ,right,Daniel Van Buyten,Yes,adidas,Belgium,No,UEFA,1,23,6500000,6000000,6500000,43740,0,5,NA
,Sebastian Rudy,TSG Hoffenheim,No,Bundesliga,Germany,#16,2/28/1990,29,1.80,Midfielder ,right,Relatives,Yes,Other,Germany,Yes,UEFA,1,21,6500000,20850000,15000000,43097,2,28,NA
Vincent Jean Mpoy Kompany,Vincent Kompany,RSC Anderlecht,No,Jupiler Pro League,Belgium,#4,4/10/1986,33,1.90,Defender ,right,Eleven Management,Yes,Puma,Belgium,Yes,UEFA,0,17,6500000,19000000,35000000,40945,7,89,NA
Wallace Fortuna dos Santos,Wallace,Braga,No,Liga NOS,Portugal,#13,10/14/1994,25,1.91,Defender ,right,Gestifute,Yes,adidas,Brazil,No,CONMEBOL,0,16,6500000,17500000,9000000,42894,2,3,NA
Érick Gabriel Gutiérrez Galaviz,Erick Gutierrez,PSV Eindhoven,No,Eredivisie,Netherlands,#15,6/15/1995,24,1.81,Midfielder ,left,CANTERA LATINA / ...,Yes,adidas,Mexico,No,CONCACAF,1,16,6500000,6000000,7500000,43335,1,18,NA
,Almamy Toure,E. Frankfurt,No,Bundesliga,Germany,#18,4/28/1996,23,1.83,Defender ,right,NA,No,Other,France,No,UEFA,0,7,6500000,750000,8000000,43124,1,2,NA
Ohis Felix Uduokhai,Felix Uduokhai,FC Augsburg,No,Bundesliga,Germany,#19,9/9/1997,22,1.92,Defender ,left,Relatives,Yes,Other,Germany,Yes,UEFA,0,0,6500000,3500000,8000000,43194,1,6,NA
,Shapi Suleymanov,Krasnodar,No,Premier Liga,Russia,#93,12/16/1999,19,1.71,Forward ,,NA,No,adidas,Russia,Yes,UEFA,4,0,6500000,0,6500000,43718,0,6,NA
Domagoj Bradaric,Domagoj Bradaric,LOSC Lille,Yes,Ligue 1,France,#29,12/10/1999,19,1.78,Defender ,left,IDUB GLOBAL,Yes,Other,Croatia,No,UEFA,0,0,6500000,6500000,6500000,43735,0,9,NA
Patrik Hrosovský,Patrik Hrosovsky,KRC Genk,Yes,Jupiler Pro League,Belgium,#17,4/22/1992,27,1.72,Midfielder ,right,SPOCS Global sports ...,Yes,Other,Slovakia,No,UEFA,0,0,6500000,5200000,6500000,43641,0,21,NA
,Craig Dawson,Watford,No,Premier League,England,#4,5/6/1990,29,1.88,Defender ,right,Unique Sports ...,Yes,Other,England,Yes,UEFA,0,41,6000000,6300000,8000000,43248,1,1,NA
,Konstantinos Laifis,Standard Liege,No,Jupiler Pro League,Belgium,#34,5/19/1993,26,1.86,Defender ,left,NA,No,Other,Cyprus,No,UEFA,2,39,6000000,2600000,6000000,43626,0,34,NA
,Ruud Vormer,Club Brugge,Yes,Jupiler Pro League,Belgium,#25,5/11/1988,31,1.78,Midfielder ,right,Winny Haatrecht,Yes,Other,Netherlands,No,UEFA,0,38,6000000,0,7500000,43254,1,4,NA
Samir Handanovic,Samir Handanovic,Inter,Yes,Serie A,Italy,#1,7/14/1984,35,1.93,Goalkeeper,right,LIAN SPORTS,Yes,Nike,Slovenia,No,UEFA,12,38,6000000,15000000,24000000,41444,6,81,NA
Pau Francisco Torres,Pau Torres,Villarreal,No,LaLiga,Spain,#4,1/16/1997,22,1.91,Defender ,left,InterStarDeporte,Yes,Other,Spain,Yes,UEFA,1,38,6000000,0,6000000,43718,0,1,NA
Habibou Mouhamadou Diallo,Habib Diallo,FC Metz,No,Ligue 1,France,#20,6/15/1995,24,1.86,Forward ,right,Mondial Promotion,Yes,Other,Senegal,No,CAF,8,37,6000000,0,6000000,43643,0,2,NA
Timothée Christian Kolodziejczak,Timothee Kolodziejczak,Saint-Etienne,No,Ligue 1,France,#5,10/1/1991,28,1.85,Defender ,left,World Football,Yes,Other,France,Yes,UEFA,0,36,6000000,18000000,7000000,42422,3,15,NA
,Stefano Denswil,Bologna,No,Serie A,Italy,#4,5/7/1993,26,1.88,Defender ,left,Winny Haatrecht,Yes,Nike,Netherlands,No,UEFA,0,35,6000000,7200000,6000000,43626,0,7,NA
,Denis Bouanga,Saint-Etienne,No,Ligue 1,France,#20,11/11/1994,25,1.80,Forward ,right,NA,No,Other,Gabon,No,CAF,5,35,6000000,7500000,6000000,43451,0,11,NA
Jordi Masip López,Jordi Masip,Real Valladolid,No,LaLiga,Spain,#1,1/3/1989,30,1.80,Goalkeeper,right,OFSPORTS,Yes,Other,Spain,Yes,UEFA,17,35,6000000,0,6000000,43455,0,1,NA
Mohamed Salim Fares,Mohamed Fares,SPAL,No,Serie A,Italy,#93,2/15/1996,23,1.83,Midfielder ,left,Mino Raiola,Yes,Other,Algeria,No,CAF,3,35,6000000,2700000,6000000,43622,0,9,"Cruciate Ligament Rupture: Return expected on Jan 1, 2020"
Federico Julián Fazio,Federico Fazio,AS Roma,No,Serie A,Italy,#20,3/17/1987,32,1.95,Defender ,right,Football Management ...,Yes,adidas,Argentina,No,CONMEBOL,0,34,6000000,15200000,13000000,43258,1,10,NA
Francisco Leonel Lima Silva Machado,Chiquinho,Benfica,Yes,Liga NOS,Portugal,#19,7/19/1995,24,1.74,Forward ,right,Bruno Carvalho,Yes,adidas,Portugal,Yes,UEFA,0,34,6000000,4950000,6000000,43623,0,0,NA
,Frederic Guilbert,Aston Villa,No,Premier League,England,#24,12/24/1994,24,1.78,Defender ,right,Wonder Sports,Yes,Other,France,No,UEFA,0,34,6000000,6500000,7000000,43451,1,1,NA
,Hamari Traore,Stade Rennais,No,Ligue 1,France,#27,1/27/1992,27,1.75,Defender ,right,World Soccer Star ...,Yes,Other,Mali,No,CAF,0,34,6000000,2400000,6000000,43255,0,16,NA
,Timo Horn,1. FC Koln,No,Bundesliga,Germany,#1,5/12/1993,26,1.92,Goalkeeper,left,SportsTotal,Yes,Puma,Germany,Yes,UEFA,23,33,6000000,0,12000000,42905,2,4,NA
Tomás Koubek,Tomas Koubek,FC Augsburg,No,Bundesliga,Germany,#21,8/26/1992,27,1.97,Goalkeeper,right,SPORT INVEST ...,Yes,Other,Czech Republic,No,UEFA,24,33,6000000,10800000,7000000,43255,1,9,NA
Wilson Bruno Naval Costa Eduardo,Wilson Eduardo,Braga,No,Liga NOS,Portugal,#7,7/8/1990,29,1.79,Forward ,right,PR10,Yes,Other,Angola,No,CAF,3,32,6000000,500000,6000000,43623,0,4,NA
Bruno Viana Willemen Da Silva,Bruno Viana,Braga,No,Liga NOS,Portugal,#36,2/5/1995,24,1.87,Defender ,right,NA,No,Other,Brazil,No,CONMEBOL,0,32,6000000,5000000,6000000,43623,0,0,NA
,Alfredo Donnarumma,Brescia,No,Serie A,Italy,#9,11/30/1990,28,1.80,Forward ,right,M.A.R.A.T. Football ...,Yes,adidas,Italy,Yes,UEFA,4,32,6000000,2400000,6000000,43746,0,0,NA
,Brandon Mechele,Club Brugge,Yes,Jupiler Pro League,Belgium,#44,1/28/1993,26,1.90,Defender ,right,SportPlus Football ...,Yes,Other,Belgium,Yes,UEFA,0,32,6000000,0,6000000,43461,0,1,NA
Sam Andreas Larsson,Sam Larsson,Feyenoord,No,Eredivisie,Netherlands,#11,4/10/1993,26,1.80,Forward ,right,Universal Sports ...,Yes,Other,Sweden,No,UEFA,4,32,6000000,5500000,7000000,42753,2,4,NA
Federico Javier Santander Mereles,Federico Santander,Bologna,No,Serie A,Italy,#9,6/4/1991,28,1.87,Forward ,right,no agent,Yes,Other,Paraguay,No,CONMEBOL,1,32,6000000,9600000,6000000,43454,0,19,Calf Problems: Return unknown
,Thomas Foket,Reims,No,Ligue 1,France,#32,9/25/1994,25,1.77,Defender ,right,11one,Yes,adidas,Belgium,No,UEFA,0,32,6000000,3500000,6000000,43531,0,2,NA
Bernardo José Espinosa Zúniga,Bernardo Espinosa,Espanyol,No,LaLiga,Spain,#20,7/11/1989,30,1.92,Defender ,right,YOU FIRST SPORTS ,Yes,Other,Colombia,No,CONMEBOL,1,31,6000000,4500000,7000000,43101,1,0,NA
Pedro Filipe Teodosio Mendes,Pedro Mendes,Montpellier,No,Ligue 1,France,#5,10/1/1990,29,1.86,Defender ,right,Francesco Viviani,Yes,Puma,Portugal,No,UEFA,1,31,6000000,1100000,6000000,43451,0,1,NA
Alejandro Berenguer Remiro,Alex Berenguer,Torino,No,Serie A,Italy,#21,7/4/1995,24,1.75,Forward ,right,YOU FIRST SPORTS ,Yes,Other,Spain,No,UEFA,0,31,6000000,5500000,6000000,42891,0,0,NA
Dale Christopher Stephens,Dale Stephens,Brighton,No,Premier League,England,#6,12/12/1989,29,1.85,Midfielder ,right,Unique Sports ...,Yes,Other,England,Yes,UEFA,0,30,6000000,400000,6000000,43102,0,0,NA
Jean-Paul Patrick Boetius,Jean-Paul Boetius,1.FSV Mainz 05,No,Bundesliga,Germany,#5,3/22/1994,25,1.78,Midfielder ,right,Stellar Football Ltd,Yes,Other,Netherlands,No,UEFA,2,30,6000000,7000000,6000000,43621,0,1,NA
Jasmin Kurtic,Jasmin Kurtic,SPAL,No,Serie A,Italy,#19,1/10/1989,30,1.86,Midfielder ,right,AR Sport Management,Yes,Puma,Slovenia,No,UEFA,2,30,6000000,13800000,7000000,42894,2,53,NA
Óscar de Marcos Arana,Oscar de Marcos,Athletic,No,LaLiga,Spain,#18,4/14/1989,30,1.82,Defender ,right,not clarified,Yes,Other,Spain,Yes,UEFA,0,30,6000000,350000,10000000,41128,7,0,NA
Anthony Limbombe Ekango,Anthony Limbombe,Standard Liege,No,Jupiler Pro League,Belgium,#14,7/15/1994,25,1.77,Forward ,both,NA,No,Other,Belgium,Yes,UEFA,1,29,6000000,11600000,8000000,43254,1,1,Knee Injury: Return unknown
James Oliver Charles Tomkins,James Tomkins,Crystal Palace,No,Premier League,England,#5,3/29/1989,30,1.92,Defender ,right,NA,No,adidas,England,Yes,UEFA,0,29,6000000,11700000,8000000,43248,1,1,NA
,Bouna Sarr,Marseille,No,Ligue 1,France,#17,1/31/1992,27,1.77,Defender ,right,Mondial Promotion,Yes,Other,France,Yes,UEFA,0,29,6000000,2000000,8000000,43397,1,0,NA
,Jorrit Hendrix,PSV Eindhoven,No,Eredivisie,Netherlands,#8,2/6/1995,24,1.81,Midfielder ,left,SEG,Yes,Other,Netherlands,Yes,UEFA,0,29,6000000,0,10000000,43377,1,1,Knock: Return unknown
Francisco Femenía Far,Kiko Femenia,Watford,No,Premier League,England,#21,2/2/1991,28,1.71,Defender ,right,Relatives,Yes,Other,Spain,No,UEFA,0,29,6000000,2000000,6000000,43720,0,0,NA
Theo Bongonda Mbul'Ofeko Batombo,Theo Bongonda,KRC Genk,Yes,Jupiler Pro League,Belgium,#27,11/20/1995,24,1.75,Forward ,left,Ben Kouider Group,Yes,Other,Belgium,Yes,UEFA,1,28,6000000,10140000,6000000,43626,0,8,NA
Christian Atsu Twasam,Christian Atsu,Newcastle,No,Premier League,England,#30,1/10/1992,27,1.65,Forward ,left,Alpha sports ...,Yes,Nike,Ghana,No,CAF,0,28,6000000,10600000,6000000,41360,0,60,NA
Paulo André Rodrigues de Oliveira,Paulo Oliveira,SD Eibar,No,LaLiga,Spain,#12,1/8/1992,27,1.87,Defender ,right,PromoSport,Yes,Other,Portugal,No,UEFA,1,28,6000000,5300000,8500000,42424,3,1,NA
,Denis Cheryshev,Valencia,Yes,LaLiga,Spain,#11,12/26/1990,28,1.79,Forward ,left,not clarified,Yes,Nike,Russia,No,UEFA,1,27,6000000,13000000,10000000,42027,4,25,"Pelvis Injury: Return expected on Nov 30, 2019"
,Jeremie Boga,Sassuolo,No,Serie A,Italy,#7,1/3/1997,22,1.74,Forward ,right,First Access Sports,Yes,adidas,Cote d'Ivoire,No,CAF,3,25,6000000,3000000,6000000,43622,0,1,NA
Leroy Johan Fer,Leroy Fer,Feyenoord,No,Eredivisie,Netherlands,#19,1/5/1990,29,1.88,Midfielder ,both,Wasserman ...,Yes,Nike,Netherlands,Yes,UEFA,1,25,6000000,26600000,8500000,41654,5,11,NA
,Jean-Victor Makengo,Toulouse,No,Ligue 1,France,#27,6/12/1998,21,1.77,Midfielder ,left,Meissa N'diaye,Yes,Other,France,Yes,UEFA,2,25,6000000,6000000,6000000,43735,0,2,NA
Jemerson de Jesus Nascimento,Jemerson,Monaco,No,Ligue 1,France,#5,8/24/1992,27,1.84,Defender ,right,fAirplay-Management,Yes,Other,Brazil,No,CONMEBOL,0,25,6000000,11000000,18000000,43124,1,2,NA
Thiago Emiliano da Silva,Thiago Silva,Paris SG,Yes,Ligue 1,France,#2,9/22/1984,35,1.83,Defender ,right,Paulo Tonietto,Yes,Nike,Brazil,No,CONMEBOL,0,25,6000000,58000000,40000000,41105,7,88,NA
Lys Mousset Mendy,Lys Mousset,Sheffield Utd.,No,Premier League,England,#22,2/8/1996,23,1.84,Forward ,right,Midas Sports,Yes,Other,France,No,UEFA,3,24,6000000,17600000,6000000,43720,0,8,NA
,Jeremy Gelin,Stade Rennais,No,Ligue 1,France,#26,4/24/1997,22,1.83,Defender ,right,NA,No,Other,France,Yes,UEFA,0,22,6000000,0,8000000,43255,1,3,NA
,Yannick Bolasie,Sporting CP,No,Liga NOS,Portugal,#89,5/24/1989,30,1.85,Forward ,right,Jwtiar Khalid Rahman,Yes,Other,DR Congo,No,CAF,0,21,6000000,29660000,20000000,42667,3,35,NA
Thomas David Heaton,Tom Heaton,Aston Villa,No,Premier League,England,#1,4/15/1986,33,1.88,Goalkeeper,right,10Ten Football,Yes,Other,England,Yes,UEFA,18,19,6000000,8800000,6000000,43720,0,3,NA
,Adrien Hunou,Stade Rennais,No,Ligue 1,France,#23,1/19/1994,25,1.79,Midfielder ,right,NA,No,Other,France,Yes,UEFA,4,19,6000000,0,6000000,43619,0,12,NA
,Oleg Shatov,Zenit S-Pb,Yes,Premier Liga,Russia,#17,7/29/1990,29,1.73,Midfielder ,right,prosm,Yes,Other,Russia,Yes,UEFA,2,19,6000000,12000000,14000000,42522,3,28,NA
Lukas Reiff Lerager,Lukas Lerager,Genoa,No,Serie A,Italy,#8,7/12/1993,26,1.85,Midfielder ,right,people in sport,Yes,Other,Denmark,No,UEFA,0,18,6000000,9900000,6000000,43255,0,10,NA
,Filippo Romagna,Sassuolo,No,Serie A,Italy,#19,5/26/1997,22,1.85,Defender ,right,TMP SOCCER srl ,Yes,Other,Italy,Yes,UEFA,0,18,6000000,7400000,7000000,43183,1,16,NA
Jovane Eduardo Borges Cabral,Jovane Cabral,Sporting CP,No,Liga NOS,Portugal,#77,6/14/1998,21,1.76,Forward ,right,Invictus Team,Yes,Other,Cape Verde,No,CAF,0,18,6000000,0,7000000,43476,0,1,Hip Injury: Return unknown
,Daryl Janmaat,Watford,No,Premier League,England,#2,7/22/1989,30,1.85,Defender ,right,Wasserman ...,Yes,Other,Netherlands,No,UEFA,0,18,6000000,16700000,7500000,42186,4,34,NA
Arber Zeneli,Arber Zeneli,Reims,No,Ligue 1,France,#17,2/25/1995,24,1.76,Forward ,right,Colossal Sports ...,Yes,Other,Kosovo,No,UEFA,17,17,6000000,5950000,6000000,43462,0,18,"Ruptured cruciate ligament: Return expected on Mar 1, 2020"
Lucas Rodrigo Biglia,Lucas Biglia,AC Milan,No,Serie A,Italy,#20,1/30/1986,33,1.78,Midfielder ,right,Enzo Montepaono,Yes,Other,Argentina,No,CONMEBOL,0,16,6000000,31100000,20000000,42566,3,58,NA
Cody Mathès Gakpo,Cody Gakpo,PSV Eindhoven,No,Eredivisie,Netherlands,#19,5/7/1999,20,1.87,Forward ,right,SEG,Yes,Puma,Netherlands,Yes,UEFA,2,16,6000000,0,6000000,43727,0,5,NA
,Alberto Cerri,Cagliari Calcio,No,Serie A,Italy,#9,4/16/1996,23,1.94,Forward ,right,TMP SOCCER srl ,Yes,Nike,Italy,Yes,UEFA,0,15,6000000,11030000,7500000,43269,1,20,NA
Rúben Miguel Nunes Vezo,Ruben Vezo,Levante,No,LaLiga,Spain,#14,4/25/1994,25,1.82,Defender ,right,Gestifute,Yes,Other,Portugal,No,UEFA,0,15,6000000,7050000,6000000,43181,0,5,NA
El Hadji Baye Oumar Niasse,Oumar Niasse,Everton,No,Premier League,England,#29,4/18/1990,29,1.82,Forward ,right,Relatives,Yes,Nike,Senegal,No,CAF,12,13,6000000,23650000,13000000,42409,3,9,NA
Lucas Nahuel Castro,Lucas Castro,Cagliari Calcio,No,Serie A,Italy,#29,4/9/1989,30,1.82,Midfielder ,right,Fiorio Management ...,Yes,Other,Argentina,No,CONMEBOL,2,12,6000000,14500000,7500000,42894,2,0,NA
Andrew Thomas Carroll,Andy Carroll,Newcastle,No,Premier League,England,#7,1/6/1989,30,1.93,Forward ,left,Stellar Football Ltd,Yes,Other,England,Yes,UEFA,0,12,6000000,59750000,20000000,40582,8,9,NA
,Ryad Boudebouz,Saint-Etienne,No,Ligue 1,France,#7,2/19/1990,29,1.77,Midfielder ,left,Amc sport paris ,Yes,Other,Algeria,No,CAF,0,11,6000000,13200000,10000000,42887,2,25,NA
,Ciaran Clark,Newcastle,No,Premier League,England,#2,9/26/1989,30,1.88,Defender ,left,Stellar Football Ltd,Yes,Other,Ireland,No,UEFA,2,11,6000000,6000000,6000000,43102,0,32,NA
Joshua Thomas Sargent,Josh Sargent,Werder Bremen,No,Bundesliga,Germany,#19,2/20/2000,19,1.85,Forward ,right,Wasserman,Yes,Other,United States,No,CONCACAF,2,10,6000000,0,6000000,43740,0,11,NA
,Ridgeciano Haps,Feyenoord,No,Eredivisie,Netherlands,#5,6/12/1993,26,1.75,Defender ,left,Prof Partners ...,Yes,Other,Netherlands,Yes,UEFA,2,9,6000000,6000000,6000000,43034,0,1,NA
,Bafode Diakite,Toulouse,No,Ligue 1,France,#19,1/6/2001,18,1.85,Defender ,right,Classico Sports ...,Yes,Other,France,Yes,UEFA,0,9,6000000,0,6000000,43735,0,0,Calf Injury: Return unknown
,Lisandro Magallan,Alaves,No,LaLiga,Spain,#6,9/27/1993,26,1.85,Defender ,right,Essel sports ...,Yes,Other,Argentina,No,CONMEBOL,1,8,6000000,10140000,6000000,43452,0,1,NA
Unai Simón Mendibil,Unai Simon,Athletic,No,LaLiga,Spain,#1,6/11/1997,22,1.90,Goalkeeper,right,Stellar Football Ltd,Yes,Other,Spain,Yes,UEFA,7,7,6000000,0,7500000,43404,1,10,NA
,Joris Gnagnon,Stade Rennais,No,Ligue 1,France,#21,1/13/1997,22,1.82,Defender ,right,Relatives,Yes,Other,France,Yes,UEFA,0,7,6000000,13500000,15000000,43124,1,3,NA
Jordan Zacharie Lukaku Menama Mokelenge,Jordan Lukaku,Lazio,No,Serie A,Italy,#5,7/25/1994,25,1.80,Defender ,left,WATI-SPORT,Yes,Other,Belgium,No,UEFA,0,7,6000000,4000000,7000000,43183,1,8,"No eligibility - Europa Leagueuntil Dec 31, 2019"
,Andrea Favilli,Genoa,No,Serie A,Italy,#30,5/17/1997,22,1.91,Forward ,right,Supporter Management,Yes,Other,Italy,Yes,UEFA,0,6,6000000,22500000,6500000,43385,1,9,Biceps femoris muscle injury: Return unknown
Emerson Aparecido Leite De Souza Junior,Emerson,Real Betis,No,LaLiga,Spain,#22,1/14/1999,20,1.83,Defender ,right,Elenko Sports Ltda.,Yes,Other,Brazil,No,CONMEBOL,2,6,6000000,19180000,6000000,43524,0,1,NA
,Rayan Ait Nouri,SCO Angers,No,Ligue 1,France,#2,6/6/2001,18,1.79,Defender ,left,NA,No,Other,France,Yes,UEFA,0,3,6000000,0,6000000,43735,0,2,NA
,Dejan Kulusevski,Parma,No,Serie A,Italy,#44,4/25/2000,19,1.86,Forward ,left,NA,No,Other,Sweden,No,UEFA,2,3,6000000,165000,6000000,43746,0,1,NA
Gary James Cahill,Gary Cahill,Crystal Palace,No,Premier League,England,#24,12/19/1985,33,1.93,Defender ,right,NA,No,adidas,England,Yes,UEFA,0,2,6000000,14400000,20000000,41863,5,61,NA
Aaron Christopher Ramsdale,Aaron Ramsdale,Bournemouth,No,Premier League,England,#12,5/14/1998,21,1.88,Goalkeeper,right,World in Motion,Yes,adidas,England,Yes,UEFA,15,0,6000000,940000,6000000,43720,0,5,NA
Francisco Antonio Machado Mota Castro Trincao,Trincao,Braga,No,Liga NOS,Portugal,#77,12/29/1999,19,1.84,Forward ,left,Bruno Carvalho,Yes,Nike,Portugal,Yes,UEFA,0,0,6000000,0,8000000,43405,1,3,NA
Samir Caetano de Souza Santos,Samir,Udinese Calcio,No,Serie A,Italy,#3,12/5/1994,24,1.88,Defender ,left,TFM Agency,Yes,Other,Brazil,No,CONMEBOL,0,0,6000000,4060000,7000000,43098,2,0,NA
Simon Desire Sylvanus Deli,Simon Deli,Club Brugge,Yes,Jupiler Pro League,Belgium,#17,10/27/1991,28,1.92,Defender ,left,no agent,Yes,Other,Cote d'Ivoire,No,CAF,1,0,6000000,2500000,6000000,43721,0,15,NA
Alex Kral,Alex Kral,Spartak Moscow,No,Premier Liga,Russia,#33,5/19/1998,21,1.87,Midfielder ,right,K2K Sports ...,Yes,Other,Czech Republic,No,UEFA,0,0,6000000,12900000,6000000,43718,0,9,NA
Sebastian Szymanski,Sebastian Szymanski,Dinamo Moscow,No,Premier Liga,Russia,#11,5/10/1999,20,1.74,Forward ,left,Stellar Football Ltd,Yes,Other,Poland,No,UEFA,1,0,6000000,5500000,6000000,43490,0,5,NA
,Dimitrios Siovas,CD Leganes,No,LaLiga,Spain,#22,9/16/1988,31,1.91,Defender ,left,NA,No,Other,Greece,No,UEFA,0,0,6000000,3300000,6000000,43524,0,18,NA
